course_id,course_title,url,level,skills
488,AI For Medical Treatment,https://www.coursera.org/learn/ai-for-medical-treatment,Intermediate,"['AI For Medical Treatment', 'AI']"
58,AI Foundations for Everyone,https://www.coursera.org/specializations/ai-foundations-for-everyone,Beginner,"['AI', 'AI Foundations']"
129,AI for Medical Diagnosis,https://www.coursera.org/learn/ai-for-medical-diagnosis,Intermediate,"['AI for Medical Diagnosis', 'AI']"
283,AI for Medical Prognosis,,Intermediate,"['AI for Medical Prognosis', 'AI']"
54,AI For Everyone,https://www.coursera.org/learn/ai-for-everyone,Beginner,"['AI', 'AI For Everyone']"
43,AWS Fundamentals,https://www.coursera.org/specializations/aws-fundamentals,Beginner,['AWS Fundamentals']
861,AWS Fundamentals: Building Serverless Applications,https://www.coursera.org/specializations/building-serverless-applications-aws,Beginner,['AWS Fundamentals: Building Serverless Applications']
1,Artifical Intelligence Basic Course ,https://www.youtube.com/watch?v=3tDE4hDaYgw&list=PLxf3-FrL8GzTIQpnY_UyzDX6JK0_Kbe_t,All Levels,['AI']
2,Artifical Intelligence Advance Course ,https://www.youtube.com/watch?v=vCKF1vYVNTs&list=PLxf3-FrL8GzRALeq_9BtdQclN6SF4bTCG,All Levels,['AI advance course']
747650,Introduction to Artificial Intelligence ,https://www.coursera.org/learn/introduction-to-ai,Beginner Level,['Introduction to AI']
761770,Learn HTML5 Canvas for beginners,https://www.udemy.com/learn-html5-canvas-for-beginners/,Beginner Level,['HTML5 Canvas']
723878,Bootstrap 4 Beginners: Code a Responsive Landing Page,https://www.udemy.com/bootstrap-4-beginners-code-a-responsive-landing-page/,All Levels,['Bootstrap 4 Beginners']
1036028,Build Wordpress CMS Clone with Laravel 5,https://www.udemy.com/build-blog-cms-with-laravel-5/,All Levels,['Build Wordpress CMS Clone with Laravel']
1115064,XML DTD - Crash Course for Beginners,https://www.udemy.com/xml-dtd-crash-course-for-beginners/,All Levels,['XML']
21386,Beginner Photoshop to HTML5 and CSS3,https://www.udemy.com/psd-html5-css3/,All Levels,"['HTML5', 'Beginner Photoshop', 'CSS3']"
270976,A how to guide in HTML,https://www.udemy.com/a-how-to-guide-in-html/,Beginner Level,['HTML']
667122,Build A Stock Downloader With Visual Studio 2015 And C#,https://www.udemy.com/csharpyahoostockdownloader/,Intermediate Level,['Build A Stock Downloader With Visual Studio']
865438,jQuery UI in Action: Build 5 jQuery UI Projects,https://www.udemy.com/jquery-ui-practical-build-jquery-ui-projects/,All Levels,['jQuery UI']
775618,Learn jQuery from Scratch - Master of JavaScript library,https://www.udemy.com/easy-jquery-for-beginner-learn-from-scratch-step-by-step/,All Levels,"['JavaScript', 'Scratch - Master']"
1088178,How To Design A WordPress Website With No Coding At All,https://www.udemy.com/how-to-make-a-wordpress-website-course/,Beginner Level,['No code wordpress website']
635248,Learn and Build using Polymer,https://www.udemy.com/learn-and-build-using-polymer/,All Levels,['Learn']
905096,CSS Animations: Create Amazing Effects on Your Website,https://www.udemy.com/css-animations-create-amazing-effects-on-your-website/,All Levels,['CSS Animation']
654832,HTML Forms For Beginners: A Basic Introduction  ,https://www.udemy.com/html-forms-for-beginners-a-basic-introduction/,Beginner Level,['HTML']
